variant,lcc,srcc,rmse
full,0.5911068891606701,0.5826850566698231,1.027288092696322
random,0.6054804593028925,0.589332890153067,1.0160006819565384
cosine,0.6276612384425415,0.6160058889224677,0.9664166174230379
global,0.6046734927840602,0.594949155380898,1.010956563213806
tome,0.5719195202168701,0.566197835222341,1.152470841360417
sgtc_w,0.6278500284349368,0.6170913199630181,0.9706302835129109
sgtc_w_cos,0.6505148050217539,0.6413489048498658,0.9550614368842759
sgtc_w_rand,0.622455544509775,0.6112733127802238,0.9784391724561105
attention,0.5535332834989991,0.5559028123666214,1.1650616537090817
