frac,n_train,method,lcc,srcc,rmse
25%,566,baseline,0.40970175240002926,0.42575472540194526,1.1865381197466283
25%,566,merge2,0.7319235302622978,0.7364080878151334,0.7447034436000651
50%,1132,baseline,0.48723007598043655,0.4798509651315396,1.1333240491985932
50%,1132,merge2,0.7867487918054533,0.794495087701744,0.6375731158421823
100%,2254,baseline,0.6679377754166167,0.6555401697423809,0.8299831231770131
100%,2254,merge2,0.806041599665966,0.8080639791796902,0.5988356935947554
