method,lcc_mean,lcc_std,srcc_mean,rmse_mean
baseline,0.6690222244806951,0.002485098377371528,0.6575840750253734,0.7363561158578726
merge2,0.5835742026966961,0.015795765833066657,0.5867579718655536,0.908226592775614
merge3,0.44477091300341653,0.011764173778530191,0.43128020601219647,0.9442770897177184
prune2,0.22617034435625555,0.08651591451368765,0.233579369811441,0.96128374034405
baseline_ols,0.5880926858665809,0.0,0.5944660726043874,1.0673584547238748
merge2_ols,0.5211505774751917,0.0,0.556136901506522,1.3429351627279213
