method,lcc,srcc,rmse
baseline,0.4275068758750311,0.40552172141373694,1.1172622198318183
sgtc,0.44997298720194795,0.424734084803309,1.16095515547187
sgtc_w,0.4222884736404804,0.4025964081961392,1.2016239114674048
tome,0.428529139402716,0.3975717515739443,1.4625046892460996
prune2,0.5103386199165534,0.5016469734815767,0.8882133503391959
merge2,0.435587639496298,0.4276301074859478,4.0777823073813275
