method,lcc,srcc,rmse
baseline,0.4275068758750312,0.40552172141373694,1.1172622198318183
merge2,0.5610441573951613,0.5327074413793533,1.0854000893876472
prune2,0.5103386199165534,0.5016469734815767,0.888213350339196
