method,lcc_mean,lcc_std,srcc_mean,rmse_mean
baseline,0.6758247426211393,0.0016216398510709921,0.6625620529680896,0.7303159706833866
merge2,0.7327672892511059,0.0009977045614917525,0.7384826343822519,0.6713157797019762
merge3,0.5324725668302599,0.003351092137835298,0.511264744894838,0.8364662774266372
prune2,0.40811902279576645,0.007397495217489616,0.4203051308153355,0.9033611593089489
