ratio,n_seeds,lcc_mean,lcc_std,srcc_mean,rmse_mean
2,5,0.7980451201944296,0.0076801999516699394,0.8026857933649382,0.6167359221251602
3,5,0.820872903308878,0.00391207121047927,0.8258179913545126,0.5688904306986358
4,5,0.8218434470434743,0.016482486872717774,0.8255113128885595,0.5656057557560916
